Instancia, Vo, %dHeurPlanos, %dHeur, tHeur (seg) 
P1, 3, 0, 666.667, 0
P2, 66, 0, 219.697, 0
P3, 56, 0, 51.7857, 0
P4, 45, 0, 244.444, 0
P5, 35, 0, 45.7143, 0
P6, 60, 0, 286.667, 0
P7, 89, 0, 80.8989, 0
P8, 90, 0, 125.556, 0
P9, 46, 2.17391, 86.9565, 0
P10, 41, 0, 112.195, 0
P11, 9, 0, 44.4444, 0
P12, 10, 0, 20, 0
P13, 5, 0, 120, 0
P14, 128, 0, 124.219, 0
P15, 43, 9.30233, 23.2558, 0
P16, 113, 6.19469, 107.965, 0
P17, 42, 7.14286, 126.19, 0
P18, 21, 19.0476, 109.524, 0
P19, 90, 0, 44.4444, 0
P20, 246, 0, 87.8049, 0
P21, 258, 2.32558, 76.7442, 0
P22, 474, 0, 92.827, 0
P23, 360, 0, 216.944, 0
P24, 237, 2.95359, 91.5612, 0
